first_name,last_name,email,signup_date,order_id
OMAR,garcia,N/A,2024-03-15,?
Petra,smith,customer1@example.com,01/02/2024,Order 1
ANNA,Lopez,customer2@example.com,TBD,Order 2
maria,haddad,customer3@example.com,TBD,Order 3
Elena,Weber,customer4@example.com,2024-03-15,Order 4
Omar,khan,customer5@example.com,2024-03-15,?
John,garcia,customer6@example.com,01/02/2024,Order 6
ANNA,Weber,N/A,2024-02-28,Order 7
John,Weber,customer8@example.com,01/02/2024,Order 8
Petra,haddad,customer9@example.com,TBD,Order 9
Lena,khan,customer10@example.com,01/02/2024,?
mike,Haddad,customer11@example.com,N/A,Order 11
Nikos,PAPADOPOULOS,customer12@example.com,2024-03-15,Order 12
Nikos,Papadopoulos,customer13@example.com,2024-03-15,Order 13
Petra,khan,N/A,2024-03-15,Order 14
john,Lopez,customer15@example.com,01/02/2024,?
Nikos,Brown,customer16@example.com,2024-03-15,Order 16
maria,khan,customer17@example.com,2024-03-15,Order 17
Mike,PAPADOPOULOS,customer18@example.com,2024-03-15,Order 18
Omar,smith,customer19@example.com,2024-03-15,Order 19
Petra,BROWN,customer20@example.com,2024-01-05,?
maria,Georgiou,N/A,2023-12-25,Order 21
maria,Weber,customer22@example.com,N/A,Order 22
nikos,haddad,customer23@example.com,2024-02-28,Order 23
Elena,PAPADOPOULOS,customer24@example.com,2024-03-15,Order 24
Omar,KIM,customer25@example.com,TBD,?
maria,Smith,customer26@example.com,2024-02-13,Order 26
ANNA,Papadopoulos,customer27@example.com,N/A,Order 27
maria,PAPADOPOULOS,N/A,01/02/2024,Order 28
nikos,garcia,customer29@example.com,2023-12-25,Order 29
john,BROWN,customer30@example.com,2024-02-13,?
nikos,Brown,customer31@example.com,2024-03-15,Order 31
Mike,Brown,customer32@example.com,01/02/2024,Order 32
OMAR,smith,customer33@example.com,TBD,Order 33
Elena,haddad,customer34@example.com,2024-02-13,Order 34
maria,Haddad,N/A,2024-02-13,?
Carlos,Weber,customer36@example.com,TBD,Order 36
ANNA,Lopez,customer37@example.com,?,Order 37
Sara,smith,customer38@example.com,2024-02-13,Order 38
Petra,Weber,customer39@example.com,01/02/2024,Order 39
OMAR,Brown,customer40@example.com,2024-03-15,?
